Classe,IoU,Pixels_Vrais,Pixels_Vrais_%,Pixels_Prédits,Pixels_Prédits_%,Intersection,Union
flat,0.9083559033450789,9535640,38.008769132653065,10098911,40.253950095663264,9345825,10288726
human,0.31955119293896994,331497,1.321336894132653,228539,0.9109494579081633,135622,424414
vehicle,0.7468541770022588,1775024,7.075191326530613,1784822,7.114245854591837,1521985,2037861
construction,0.7453856657245436,5139569,20.486164700255102,5827876,23.229735331632654,4683765,6283680
object,0.06480192729315935,513760,2.047831632653061,66129,0.26358816964285714,35291,544598
nature,0.7982977230517079,3973960,15.840082908163266,4083892,16.278268494897958,3577030,4480822
sky,0.8339132857095642,736781,2.9367865114795917,816903,3.256150350765306,706488,847196
void,0.6424683823017665,3081769,12.283836894132653,2180928,8.693112244897959,2058558,3204139
